,fips,frequency,STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
256,55109,11,55,109,St. Croix,Wisconsin,84345,+45.018036,-092.579597
26,27171,11,27,171,Wright,Minnesota,124700,+45.197631,-093.828888
384,27163,11,27,163,Washington,Minnesota,238136,+44.988623,-092.920897
383,27161,11,27,161,Waseca,Minnesota,19136,+44.061000,-093.549998
302,27159,11,27,159,Wadena,Minnesota,13843,+46.524393,-095.041370
307,27153,11,27,153,Todd,Minnesota,24895,+46.066924,-094.886512
165,27145,11,27,145,Stearns,Minnesota,150642,+45.557830,-094.360801
162,27143,11,27,143,Sibley,Minnesota,15226,+44.582707,-094.168405
163,27141,11,27,141,Sherburne,Minnesota,88499,+45.404646,-093.721897
83,27139,11,27,139,Scott,Minnesota,129928,+44.713131,-093.467891
50,27137,11,27,137,St. Louis,Minnesota,200226,+47.085203,-092.311226
88,27131,11,27,131,Rice,Minnesota,64142,+44.370592,-093.260361
471,27123,11,27,123,Ramsey,Minnesota,508640,+44.993146,-093.106321
366,27115,11,27,115,Pine,Minnesota,29750,+46.033410,-092.892705
364,27111,11,27,111,Otter Tail,Minnesota,57303,+46.405065,-095.793598
215,27103,11,27,103,Nicollet,Minnesota,32727,+44.265357,-094.060790
300,27097,11,27,097,Morrison,Minnesota,33198,+45.983428,-094.327628
299,27095,11,27,095,Mille Lacs,Minnesota,26097,+45.794231,-093.624487
248,27079,11,27,079,Le Sueur,Minnesota,27703,+44.393730,-093.717527
407,27065,11,27,065,Kanabec,Minnesota,16239,+45.886315,-093.299412
405,27061,11,27,061,Itasca,Minnesota,45058,+47.315978,-093.520532
499,27059,11,27,059,Isanti,Minnesota,37816,+45.544297,-093.261468
496,27053,11,27,053,Hennepin,Minnesota,1152425,+44.974633,-093.361190
46,27051,11,27,051,Grant,Minnesota,6018,+45.943212,-095.936611
118,27049,11,27,049,Goodhue,Minnesota,46183,+44.449072,-092.667524
114,27041,11,27,041,Douglas,Minnesota,36009,+45.909027,-095.391990
199,27037,11,27,037,Dakota,Minnesota,398552,+44.765954,-093.151767
200,27035,11,27,035,Crow Wing,Minnesota,62500,+46.430372,-094.158899
339,27025,11,27,025,Chisago,Minnesota,53887,+45.453007,-092.924051
441,27019,11,27,019,Carver,Minnesota,91042,+44.838040,-093.679956
95,27013,11,27,013,Blue Earth,Minnesota,64013,+44.129816,-093.998839
447,27009,11,27,009,Benton,Minnesota,38451,+45.633538,-094.102484
462,27003,11,27,003,Anoka,Minnesota,330844,+45.195145,-093.270245
464,27001,11,27,001,Aitkin,Minnesota,16202,+46.570765,-093.524368
433,55093,10,55,093,Pierce,Wisconsin,41019,+44.771766,-092.544547
470,27121,10,27,121,Pope,Minnesota,10995,+45.629871,-095.437130
218,27109,10,27,109,Olmsted,Minnesota,144248,+44.023967,-092.473176
303,27093,10,27,093,Meeker,Minnesota,23300,+45.136368,-094.482983
467,27085,10,27,085,McLeod,Minnesota,36651,+44.859713,-094.264668
498,27057,10,27,057,Hubbard,Minnesota,20428,+47.057887,-094.934153
247,27039,10,27,039,Dodge,Minnesota,20087,+44.029980,-092.808798
342,27021,10,27,021,Cass,Minnesota,28567,+46.814565,-094.415763
72,27007,10,27,007,Beltrami,Minnesota,44442,+47.591009,-094.863032
73,27005,10,27,005,Becker,Minnesota,32504,+46.849159,-095.776251
427,55095,9,55,095,Polk,Wisconsin,44205,+45.406302,-092.478528
317,38017,9,38,017,Cass,North Dakota,149778,+46.860506,-096.861406
382,27167,9,27,167,Wilkin,Minnesota,6576,+46.316536,-096.529683
164,27147,9,27,147,Steele,Minnesota,36576,+44.064305,-093.214413
340,27027,9,27,027,Clay,Minnesota,58999,+46.857998,-096.672421
90,27017,9,27,017,Carlton,Minnesota,35386,+46.642726,-092.536239
153,38077,8,38,077,Richland,North Dakota,16321,+46.264153,-096.766350
304,27157,8,27,157,Wabasha,Minnesota,21676,+44.297858,-092.221086
213,27107,8,27,107,Norman,Minnesota,6852,+47.307989,-096.477907
