fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01029,01111,25,65,741
01029,01121,15,38,674
01031,01045,280,675,9434
01031,01069,116,260,5139
01031,01061,94,222,2862
01031,01039,61,144,1673
01031,01109,51,106,1155
01031,47125,47,108,2387
01031,48141,35,61,1765
01031,13051,32,80,1526
01031,36045,32,73,1478
01031,48027,32,69,1248
01031,01089,31,78,2207
01031,01073,28,51,887
01031,20161,26,39,1174
01031,37051,24,42,1020
01031,53053,22,56,1146
01031,01097,20,28,404
01031,12091,20,42,1055
01031,08041,19,43,951
01031,01041,18,47,1825
01031,01101,18,30,490
01031,02090,16,38,811
01031,12005,16,30,505
01031,20061,14,43,853
01031,01081,13,27,519
01031,48029,13,26,580
01031,13089,12,15,168
01031,12033,11,19,297
01031,12057,11,13,240
01031,15003,11,35,649
01031,13121,10,18,177
01031,37085,10,23,472
01031,53067,10,22,457
01033,01077,492,980,16235
01033,01059,111,265,3886
01033,01089,51,98,2007
01033,01079,41,82,958
01033,01103,30,78,1026
01033,01073,26,37,531
01033,01083,23,55,925
01033,01101,10,13,198
01033,01117,10,15,341
01033,01125,10,16,338
01033,28141,10,27,283
01035,01099,52,124,1461
01035,01053,42,85,1202
01035,01013,30,74,966
01035,01039,28,56,674
01035,01101,14,31,286
01037,01123,94,219,2597
01037,01121,78,158,2526
01037,01051,17,35,-561
01037,01027,13,32,482
01037,01101,10,22,178
01039,01031,84,208,2703
01039,12091,40,75,1283
01039,12131,36,84,873
01039,01041,31,71,762
01039,01013,29,60,708
01039,01109,27,45,715
01039,01053,22,62,374
01039,01045,21,49,515
01039,01061,21,43,515
01039,01069,21,47,641
01039,12033,19,45,962
01039,01101,18,30,429
01039,01073,16,29,641
01039,12113,15,23,275
01039,01035,13,25,329
01039,01003,12,27,-416
01039,01097,12,24,296
01039,01081,11,30,415
01039,01051,10,21,306
01039,01117,10,15,328
01041,01109,90,203,3331
01041,01101,63,148,1821
01041,01031,54,131,1948
01041,01039,46,103,1367
01041,01013,27,59,750
01041,01097,14,17,247
01043,01103,198,426,6164
01043,01073,147,300,5921
01043,01095,109,270,2963
01043,01089,91,153,2876
01043,01133,78,147,4447
01043,01009,75,174,1852
01043,01127,40,82,1127
01043,01117,28,58,1736
01043,01125,21,34,464
01043,01003,18,34,634
01043,01079,18,34,464
01043,01083,18,32,595
01043,01055,16,24,215
01043,01081,14,22,342
01043,01097,13,24,302
01043,01077,12,27,404
01043,01115,11,17,218
01043,12005,11,22,317
01043,47037,10,18,306
01045,01069,376,796,11784
01045,01031,301,728,12590
01045,01005,54,119,1781
01045,01067,52,104,1420
01045,01061,49,114,1768
01045,47125,46,137,2391
01045,48141,46,145,2282
01045,01109,34,72,849
01045,36045,29,78,1272
01045,48027,28,69,1125
01045,13051,27,72,1192
01045,01101,24,43,698
01045,15003,24,57,1331
01045,12005,23,50,979
01045,20161,22,59,1016
01045,01089,21,63,1302
01045,20061,21,78,1064
01045,37051,19,51,735
01045,53053,19,56,858
01045,02090,18,54,874
01045,01039,17,44,367
01045,01073,17,33,444
01045,08041,17,63,870
01045,48029,14,36,786
01045,01097,12,22,406
01045,12031,12,26,396
01045,53067,12,43,570
01045,12091,10,16,361
01045,13215,10,25,300
01045,37085,10,32,313
01047,01101,138,305,3803
01047,01105,101,223,3000
01047,01073,59,109,1510
01047,01001,52,126,1638
01047,01051,28,56,890
01047,01085,28,66,654
01047,01125,26,48,784
01047,01021,24,50,647
01047,01003,21,42,566
01047,01089,19,42,371
01047,13089,19,33,308
01047,01117,17,32,560
01047,01131,17,38,322
01047,01097,15,23,323
01047,13063,15,37,380
01047,01081,13,23,364
01047,01091,12,29,279
01047,48453,12,24,141
01047,13067,11,22,232
01047,13121,11,22,204
01049,01095,326,804,10215
01049,01071,204,465,5431
01049,01055,92,235,2318
01049,01019,58,138,1807
01049,01089,38,63,1191
01049,13083,26,58,683
01049,47011,26,105,546
01049,01073,25,50,671
01049,47065,24,53,774
01049,01117,17,34,696
01049,13115,15,35,524
01049,01015,14,25,269
01049,13055,14,38,222
01049,01097,13,31,363
01049,01081,11,17,274
01049,48201,11,40,147
01049,01003,10,19,540
01049,01103,10,25,333
01051,01101,772,1476,23852
01051,01001,466,1016,18398
01051,01123,144,347,5133
01051,01073,64,117,2887
01051,01081,54,103,1761
01051,01003,38,75,1137
01051,01097,34,63,1763
01051,01087,30,56,704
01051,01117,30,57,918
01051,01089,27,54,952
01051,13215,27,39,562
01051,01021,25,60,762
01051,01037,21,45,810
01051,01125,21,36,717
01051,01113,20,29,388
01051,12057,20,37,687
01051,01047,18,27,584
01051,01069,18,36,451
01051,13121,16,23,364
01051,01085,14,28,567
01051,01041,13,21,354
01051,13089,13,17,330
01051,01109,11,21,323
01051,01121,11,24,310
01051,12005,11,20,411
01051,48029,11,27,906
01051,01015,10,15,286
01051,13135,10,23,475
01053,12033,128,281,3607
01053,01003,92,203,3535
01053,01035,50,112,1309
01053,01097,42,87,1363
01053,12113,37,76,1383
01053,01099,29,67,854
01053,01101,20,48,654
01053,01039,16,44,545
01053,01073,11,20,506
01053,01051,10,26,504
01055,01095,247,607,6515
01055,01015,189,424,6830
01055,01073,114,217,4196
01055,01115,108,236,3957
01055,01049,89,216,2603
01055,01019,72,150,2428
01055,01009,67,157,1892
01055,01089,61,120,1997
01055,01117,31,58,1103
01055,01125,25,44,694
01055,12057,24,28,579
01055,01121,19,36,641
01055,47065,19,40,657
01055,01081,15,27,357
01055,01097,12,21,313
01055,13067,12,19,1020
01055,01003,11,24,566
01055,01101,11,21,236
01055,01103,11,21,354
01055,01043,10,14,172
01055,12086,10,17,256
01057,01093,83,186,2387
01057,01125,82,184,2606
01057,01127,37,95,1167
01057,01075,20,39,557
01057,01073,16,31,512
01059,01033,134,293,2886
01059,01077,64,143,1649
01059,01093,52,128,1242
01059,01103,40,162,1224
01059,01125,39,143,1185
01059,01133,37,117,935
01059,28057,33,84,919
01059,28141,32,110,854
01059,01127,26,107,539
01059,01079,23,70,466
01059,01089,21,80,578
01059,01073,15,54,435
01059,28013,14,64,274
01059,28081,11,42,323
01061,01069,176,380,5043
01061,01031,83,196,4536
01061,01045,40,84,1010
01061,12059,37,82,984
01061,01039,18,49,466
01061,12063,16,36,358
01061,12131,14,32,551
01061,01003,10,29,414
01063,01125,73,172,1773
01063,01091,23,55,569
01063,01119,13,33,245
01065,01125,250,604,8785
01065,01105,43,95,1189
01065,01091,26,55,876
01065,01073,13,25,461
01065,01007,10,23,251
01065,01101,10,21,300
01067,01069,200,425,5671
01067,01045,42,100,1032
01067,01005,30,65,778
01067,01101,16,32,355
01069,01045,434,968,13982
01069,01067,216,466,7700
01069,01061,170,345,4189
01069,01031,107,235,3367
01069,01073,71,129,2881
01069,01101,70,164,1742
01069,12005,60,116,2782
01069,01005,57,173,1434
01069,12063,52,111,1524
01069,12057,49,76,1346
01069,13215,42,73,1130
01069,01097,37,56,942
01069,01109,37,76,753
01069,01081,30,49,1234
01069,01003,29,60,1362
01069,01089,27,48,997
01069,13121,27,46,746
01069,01117,26,61,1828
01069,01123,24,118,762
01069,12073,24,39,925
01069,01039,23,45,585
01069,13089,21,44,637
01069,12011,20,29,517
01069,01125,19,37,459
01069,12103,18,28,527
01069,48201,18,38,640
01069,12086,17,25,224
01069,13135,17,45,669
01069,12059,16,30,416
01069,12031,15,31,625
01069,12033,15,28,529
01069,13099,15,32,305
01069,13253,15,29,420
01069,01113,14,29,294
01069,12091,14,27,348
01069,12133,13,22,306
01069,47037,13,16,243
01069,48029,13,24,1554
01069,12105,12,25,544
01069,12113,12,24,757
01069,45045,12,38,436
01069,48113,12,19,334
01069,06073,11,18,287
01069,12095,11,27,431
01069,37051,11,25,485
01069,13051,10,16,342
01069,13063,10,26,171
01069,13095,10,18,952
01071,01049,173,386,4478
01071,01089,119,229,5494
01071,01095,83,201,2876
01071,47065,52,112,2059
01071,47115,48,109,1315
01071,13083,26,69,807
01071,47051,15,33,393
01071,01055,13,26,302
01071,01073,13,26,398
01071,01077,12,21,366
01073,01117,3099,6230,182445
01073,01115,989,2236,46718
01073,01125,569,1155,23405
01073,01009,516,1140,20260
01073,01127,283,605,10294
01073,01089,265,441,11048
01073,01101,256,450,8053
01073,13121,241,386,13160
01073,01003,184,381,11852
01073,01097,182,320,6350
01073,01121,155,297,5591
01073,47037,152,242,7418
01073,01043,148,316,6931
01073,13089,137,225,5191
01073,01081,117,214,5616
01073,48201,117,268,5776
01073,13135,115,220,3999
01073,13067,107,206,5352
01073,13215,98,137,2967
01073,01021,96,215,2863
01073,01007,94,194,3389
01073,01015,92,165,2763
01073,17031,89,172,3521
01073,01055,84,168,3918
01073,48113,82,136,3724
01073,06037,75,123,4645
01073,01103,70,118,2375
01073,47157,67,130,4110
01073,12086,62,83,1715
01073,12095,62,113,2750
01073,01095,60,115,3310
01073,01069,57,100,2221
01073,22071,56,87,3835
01073,04013,55,111,3372
01073,12011,55,92,2808
01073,12033,54,105,2363
01073,01051,53,96,1886
01073,12057,53,72,2377
01073,12005,52,89,3772
01073,37119,52,93,2854
01073,13063,50,94,1415
01073,48453,50,78,1137
01073,36061,49,72,2359
01073,01047,47,101,896
01073,06073,47,80,1411
01073,47065,47,108,2646
01073,01001,46,104,1585
01073,12031,46,75,2090
01073,01123,45,122,2894
01073,26163,42,84,747
01073,32003,39,60,1084
01073,48439,37,81,2128
01073,12091,36,68,1888
01073,36047,36,56,858
01073,01077,35,57,1251
01073,47093,34,52,1422
01073,12099,33,51,1526
01073,48029,33,60,1830
01073,47187,31,64,2325
01073,47149,30,71,1399
01073,12103,29,47,1476
01073,21111,29,56,1192
01073,39049,29,60,1518
01073,01033,28,67,1019
01073,01083,28,52,1192
01073,01113,28,42,714
01073,28049,28,58,1613
01073,48085,28,53,1650
01073,13097,27,55,1054
01073,53033,27,56,1401
01073,12105,26,52,1540
01073,45019,25,33,1495
01073,51013,25,36,1347
01073,51059,25,46,1722
01073,22033,24,41,1782
01073,37183,24,49,2120
01073,39035,24,47,1331
01073,01049,22,42,687
01073,01093,22,30,621
01073,13117,22,44,1919
01073,24031,22,39,1895
01073,28121,22,37,1027
01073,53053,22,55,990
01073,01031,21,46,923
01073,45045,21,43,1174
01073,01133,20,33,844
01073,06059,20,40,806
01073,06075,20,58,566
01073,12131,20,42,5671
01073,25025,20,33,1398
