fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01029,13143,32,69,995
01029,01111,21,45,438
01031,01045,253,571,8969
01031,01069,122,258,3616
01031,01061,94,232,3396
01031,01039,74,151,2884
01031,01109,66,164,2151
01031,47125,56,126,2896
01031,08041,36,80,1795
01031,48027,34,76,1798
01031,15003,32,66,1522
01031,01089,31,84,3132
01031,01101,29,60,1193
01031,37051,29,53,1164
01031,12005,27,47,-834
01031,01041,23,57,660
01031,01097,22,52,959
01031,12091,21,48,665
01031,36045,19,41,967
01031,13051,15,28,692
01031,01073,14,22,546
01031,12105,14,28,237
01031,12131,14,29,1328
01031,48453,14,31,310
01031,53053,14,24,606
01031,01067,13,37,479
01031,20061,13,38,594
01031,01003,12,25,653
01031,12033,12,30,872
01031,20161,12,17,657
01031,48141,12,34,623
01031,02090,11,24,566
01031,13215,11,20,311
01031,37085,11,20,561
01031,01051,10,21,479
01031,06073,10,26,387
01031,12057,10,21,456
01031,13089,10,21,335
01031,48201,10,20,411
01033,01077,489,1040,16293
01033,01059,109,269,3144
01033,01089,65,114,2157
01033,01079,48,103,2001
01033,01103,33,57,867
01033,01073,27,55,1115
01033,01083,24,51,976
01033,01117,19,42,1139
01033,01003,12,20,565
01035,01053,38,100,856
01035,01099,29,68,802
01035,01003,22,51,1041
01035,01039,20,45,709
01035,01101,19,37,302
01035,01013,14,30,652
01037,01121,91,206,2844
01037,01123,84,204,2037
01037,01051,22,53,617
01037,01073,22,34,798
01037,01117,15,33,673
01037,01027,12,28,484
01037,01081,10,19,410
01039,01031,77,191,3162
01039,12091,37,68,932
01039,12131,31,74,845
01039,01041,29,69,1045
01039,01097,24,47,746
01039,01003,22,44,825
01039,01101,22,42,718
01039,01035,21,47,470
01039,01109,20,31,461
01039,01069,19,46,550
01039,01053,18,38,483
01039,01061,15,33,344
01039,12033,15,30,803
01039,01013,12,25,409
01039,01045,10,19,279
01041,01101,65,148,2154
01041,01109,45,114,1422
01041,01039,32,89,830
01041,01013,23,53,428
01041,01031,14,35,386
01041,01051,11,23,295
01041,01081,10,18,345
01043,01103,177,368,5314
01043,01073,124,226,4861
01043,01095,107,238,3165
01043,01009,85,217,2666
01043,01089,77,148,2978
01043,01133,50,104,1354
01043,01127,41,89,1232
01043,01117,24,48,992
01043,01083,21,41,928
01043,01055,14,25,312
01043,01125,14,18,429
01043,01003,13,26,536
01043,01115,12,25,338
01043,01081,10,13,353
01045,01069,399,838,14626
01045,01031,301,707,11963
01045,01067,50,124,1859
01045,01061,48,114,1764
01045,08041,43,145,2080
01045,47125,43,120,2244
01045,01109,40,75,1222
01045,01005,36,67,775
01045,15003,32,90,1444
01045,37051,32,71,1278
01045,48027,32,97,1685
01045,12005,29,67,1054
01045,01101,23,45,603
01045,01089,21,53,1886
01045,36045,20,55,971
01045,13215,19,45,849
01045,37085,18,59,1112
01045,48029,18,42,948
01045,04013,17,37,1184
01045,12033,17,49,603
01045,02090,16,55,660
01045,12091,16,26,542
01045,01097,14,29,473
01045,20061,14,49,820
01045,48141,14,37,613
01045,01081,13,21,420
01045,12057,13,26,411
01045,01003,12,23,551
01045,12031,12,18,399
01045,13051,12,29,554
01045,53053,12,36,596
01045,48201,11,22,289
01047,01101,151,347,3918
01047,48453,70,178,952
01047,01073,57,122,1570
01047,01001,55,125,1560
01047,01003,32,73,1627
01047,01021,28,75,820
01047,01105,28,70,743
01047,01085,26,59,678
01047,01125,26,50,831
01047,01051,24,55,651
01047,01131,21,48,460
01047,01097,20,37,564
01047,01017,18,85,393
01047,01117,13,22,534
01047,01089,10,16,129
01047,13121,10,20,155
01049,01095,274,696,7052
01049,01071,165,413,4718
01049,01055,95,227,3446
01049,01019,62,149,1587
01049,01089,36,64,1055
01049,47065,30,69,1177
01049,01073,29,52,711
01049,13083,22,54,618
01049,01115,15,33,482
01049,13295,13,24,389
01049,01015,12,20,377
01049,01003,11,29,567
01049,13055,11,31,345
01049,13115,11,21,321
01049,47011,11,50,245
01049,01125,10,16,229
01051,01101,607,1265,23806
01051,01001,442,1032,19383
01051,01123,136,297,4232
01051,01081,55,108,2588
01051,01003,42,87,1974
01051,01117,41,83,1638
01051,01021,36,81,1201
01051,01073,34,68,1117
01051,01037,17,35,593
01051,01047,17,30,374
01051,01097,17,37,690
01051,01087,16,33,442
01051,01089,16,31,603
01051,12005,15,40,521
01051,12033,14,23,638
01051,12091,14,30,618
01051,48453,13,23,441
01051,01125,12,27,419
01051,13067,12,21,397
01051,01069,11,29,447
01051,13063,11,23,135
01051,01015,10,22,233
01051,01041,10,20,372
01051,48029,10,21,401
01053,12033,109,251,3540
01053,01003,89,212,4066
01053,01097,44,98,1000
01053,01035,40,86,1167
01053,01099,38,84,1464
01053,12113,37,94,1691
01053,01101,15,25,370
01053,01039,14,33,402
01053,01073,11,29,893
01053,01117,10,32,259
01055,01095,240,555,9938
01055,01015,190,435,5471
01055,01073,124,218,6925
01055,01115,101,204,3642
01055,01049,86,199,2257
01055,01019,67,164,1603
01055,01009,64,150,2181
01055,01089,50,96,2203
01055,01117,30,61,1665
01055,01121,21,42,566
01055,01125,20,35,560
